ID,优先级,阶段,实验名称,要回答的问题,前置依赖,执行入口,判定与记录要求,实现状态,运行状态,证据文件
G43,P2,身份诊断,非oracle位移鲁棒性,真实扰动下是否有效,G42,不筛GT-inside全部评估,失败也入分母；勿借用proxy选样本,需补无筛选导出分支,待服务器,NR
G44,P2,身份诊断,弱纹理/遮挡分层,proxy是否仅覆盖容易区域,G18;G35,按人工标签/coverage分组,预先固定分层规则；保留空组,分析脚本待扩展,待服务器,NR
G45,P2,身份诊断,错误身份margin与重建收益,两个证据是否同向,G28;G41,场景级关联分析,只称关联，不当已证中介因果,统计分析待补,待服务器,NR
G46,P3,消融与拓展,Track权重,0/.03/.1/.3敏感性,G28,独立配置对照,无Track使用专门baseline，不突破strict零权重guard,需独立baseline配置,待服务器,NR
G47,P3,消融与拓展,Pseudo权重,0/.03/.1/.3的影响,G28,独立配置对照,0对应A1；其他统一source序列,已有入口,待服务器,NR
G48,P3,消融与拓展,搜索半径,16/32/48是否改变结论,G41,--window-radii,主radius32锁定；其他为鲁棒性,已有入口,待服务器,NR
G49,P3,消融与拓展,温度,0.03/0.07/0.15是否稳定,G41,--temperature,熵不是校准正确率,已有入口,待服务器,NR
G50,P3,消融与拓展,池大小与频率,8/16/32/64与25/50/100,G28,非首轮controlled配置,调用数、coverage、总算力共同报告,需独立对称配置,待服务器,NR
G51,P3,消融与拓展,质量项消融,长度/残差/无量纲不确定性各自贡献,G28,固定q组件的source-only构建,全部基于source；不得按heldout调q,需补构建开关,待服务器,NR
G52,P3,消融与拓展,关联碰撞率,many-to-one是否降低有效约束,G22,现有日志＋阈值敏感性,记录唯一Gaussian数，不能只报track数,已有入口,待服务器,NR
G53,P3,消融与拓展,3/6/9视角,结论是否仅限最稀疏情况,G28,VIEWS=3/6/9,使用不同source split hash；预算声明,已有入口,待服务器,NR
G54,P3,消融与拓展,源视图选择鲁棒性,固定3图是否偶然好,G28,替代source名单,保持heldout冻结，不按测试效果选择图,需明确替代split驱动,待服务器,NR
G55,P3,消融与拓展,伪相机位置鲁棒性,生成路径是否过于有利,G28,source-only路径配置,不可利用heldout RGB选择路径,需补路径配置,待服务器,NR
G56,P3,消融与拓展,恢复拓扑更新,冻结拓扑结论能否外推,G28,双方对称densification,独立非首轮角色；checkpoint状态一致,需独立对称配置,待服务器,NR
G57,P3,消融与拓展,Mip360拓展,无界场景适用性,G28,独立数据适配,先验证pseudo-camera合法，不直接跑全部,数据协议适配待做,待服务器,NR
G58,P3,消融与拓展,相关方法公平对照,与Difix/HAD等差异是否真实,G32,各官方复现仓库,区分pose、预训练、budget与任务；不混文献分数,外部基线未包含,待服务器,NR
G59,P4,效率与交付,训练/缓存/诊断时间,总成本到底多少,G28;G41,同步CUDA计时,三部分分别统计，缓存不计为免费,计时驱动待补,待服务器,NR
G60,P4,效率与交付,峰值显存与Gaussian数,硬件负担与表示规模,G59,日志＋torch CUDA memory,显存reset/max与测量区间明确,计时驱动待补,待服务器,NR
G61,P4,效率与交付,失败案例图库,什么时候方法失败,G28;G41,固定选取规则,最大regression＋固定随机样本，不只挑好图,需真实输出后制作,待服务器,NR
G62,P4,效率与交付,匿名重现包验收,另一环境能否复现同结果,全部核心实验,干净服务器复跑,固定依赖、hash、命令、README；最终材料匿名,待真实环境,待服务器,NR
